,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Listado de establecimientos educativos y sus ofertas activas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: Padrón Oficial de Establecimientos Educativos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fecha de actualización: 04/2022.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Establecimiento - Localización,,,,,,,,,,,,,Modalidad,,,,,,,Común,,,,,,,Artística,,,Especial,,,,,Adultos,,,,,Hospitalaria,,,Servicios complementarios
Jurisdicción,Cueanexo,Nombre,Sector,Ámbito,Domicilio,C. P.,Código de área,Teléfono,Código de localidad,Localidad,Departamento,Mail,Común,Especial,Adultos,Artística,Hospitalaria,Intercultural,Encierro,Nivel inicial - Jardín maternal,Nivel inicial - Jardín de infantes,Primario,Secundario,Secundario - INET,SNU,SNU - INET,Secundario,SNU,Talleres,Nivel inicial - Educación temprana,Nivel inicial - Jardín de infantes,Primario,Secundario,Integración a la modalidad común/ adultos,Primario,Secundario,Alfabetización,Formación Profesional,Formación Profesional - INET,Inicial,Primario,Secundario,
Ciudad de Buenos Aires,020001500,EUSTAQUIO CARDENAS,Estatal,Urbano,SALTA 1226 CONSTITUCION,C1137,11,4305-1244,02101001,CIUDAD DE BUENOS AIRES,Comuna 1,DEAA_EP16_DE3@BUE.EDU.AR, , ,1, , , , , , , , , , , , , , , , , , , ,1, , ,1, , , , , 
Ciudad de Buenos Aires,020001700,ESCUELA DE LA ALDEA,Privado,Urbano,NUÑEZ 2776 NUÑEZ,C1429,11,4702-8042,02113001,CIUDAD DE BUENOS AIRES,Comuna 13,info@escuelalaaldea.edu.ar,1, , , , , , ,1,1,1, , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020001800,FRAY JUSTO SANTA MARIA DE ORO,Estatal,Urbano,AVDA. ALVAREZ JONTE 1964 VILLA GRAL. MITRE,C1416,11,4581-4699,02111001,CIUDAD DE BUENOS AIRES,Comuna 11,dep_epc16_de14@bue.edu.ar,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020001900,CENS Nº 59 DE 03,Estatal,Urbano,AVDA. SAN JUAN 2277 SAN CRISTOBAL,C1232,11,4941-0914/16,02103001,CIUDAD DE BUENOS AIRES,Comuna 3,deaa_cens59_de3@bue.edu.ar, , ,1, , , , , , , , , , , , , , , , , , , , ,1, , , , , , , 
Ciudad de Buenos Aires,020002000,CENS Nº 15 DE 06,Estatal,Urbano,AVDA. BELGRANO 3767 ALMAGRO,C1210,11,4982-0257,02105001,CIUDAD DE BUENOS AIRES,Comuna 5,DEAA_CENS15_DE6@BUE.EDU.AR, , ,1, , , , , , , , , , , , , , , , , , , , ,1, , , , , , , 
Ciudad de Buenos Aires,020002100,CENS Nº 44 DE 03,Estatal,Urbano,AVDA. ENTRE RIOS 1341 SAN CRISTOBAL,C1133,11,4304-0636,02103001,CIUDAD DE BUENOS AIRES,Comuna 3,CENS44@GMAIL.COM/DEAA_CENS44_DE3@BUE.EDU.AR, , ,1, , , , , , , , , , , , , , , , , , , , ,1, , , , , , , 
Ciudad de Buenos Aires,020002200,REPUBLICA DE FILIPINAS,Estatal,Urbano,COSQUIN 1943 MATADEROS,C1440,11,4687-1283,02109001,CIUDAD DE BUENOS AIRES,Comuna 9,dep_epc13_de20@bue.edu.ar,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020002300,JUAN RAMON JIMENEZ,Estatal,Urbano,MURGUIONDO 1347 MATADEROS,C1440,11,4687-1738,02109001,CIUDAD DE BUENOS AIRES,Comuna 9,dep_epc20_de20@bue.edu.ar,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020002400,RECUERDOS DE PROVINCIA,Estatal,Urbano,AVDA. JUAN BAUTISTA ALBERDI 4755 VILLA LURO,C1407,11,4683-3331,02110001,CIUDAD DE BUENOS AIRES,Comuna 10,dep_epc7_de13@bue.edu.ar / PRI07DE13@HOTMAIL.COM,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020002500,CARLOS GUIDO Y SPANO,Estatal,Urbano,CNEL. RAMON L. FALCON 4801 VILLA LURO,C1407,11,4683-3354,02110001,CIUDAD DE BUENOS AIRES,Comuna 10,dep_epc6_de13@bue.edu.ar/dep_epc6_de13@bue.edu.ar,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020002600,CENTRO DE ESTUDIOS INTERDISCPLINARIOS PARA EL APRENDIZAJE Y LA COMUNICACION,Privado,Urbano,CAP. GRAL. RAMON FREIRE 1658 BELGRANO,C1426,11,52633939,02113001,CIUDAD DE BUENOS AIRES,Comuna 13,info@ceiac.edu.ar,1, , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020002700,JARDIN INFANTES A.B.C.,Privado,Urbano,SUPERI 2132 BELGRANO,C1430,11,4544-5761,02113001,CIUDAD DE BUENOS AIRES,Comuna 13,ABCKINDEGARTEN@HOTMAIL.COM,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020002800,INSTITUTO BET-EL,Privado,Urbano,CONDE 1860 BELGRANO,C1428,11,4554-3253/3023,02113001,CIUDAD DE BUENOS AIRES,Comuna 13,SECRETARIAPRIMARIA@BETEL.EDU.AR,1, , , , , , ,1,1,1, , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020002900,INSTITUTO SAN PEDRO,Privado,Urbano,BENITO QUINQUELA MARTIN 1151 BOCA,C1167,11,4301-3261,02104001,CIUDAD DE BUENOS AIRES,Comuna 4,DIRECCIONSANPEDRO@YAHOO.COM.AR,1, , , , , , ,1,1,1, , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020003100,COLEGIO LAS CUMBRES,Privado,Urbano,GUIDO 1880 RECOLETA,C1119,11,4801-6139/4804-1205,02102001,CIUDAD DE BUENOS AIRES,Comuna 2,PRIMARIA@LASCUMBRES.EDU.AR,1, , , , , , ,1,1,1,1, , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020003300,INSTITUTO CONSTANZA RAMOS MEJIA DE BUNGE,Privado,Urbano,PARAGUAY 1252 RETIRO,C1057,11,4816-1549,02101001,CIUDAD DE BUENOS AIRES,Comuna 1,DAMAS_CARIDAD01@YAHOO.COM.AR,1, , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020003400,INST. COLEGIO SAN TARSICIO,Privado,Urbano,JUNCAL 2623 RECOLETA,C1425,11,4822-2150/1432,02102001,CIUDAD DE BUENOS AIRES,Comuna 2,SECRETARIA.PRIMARIA@SANTARSICIO.EDU.AR,1, , , , , , ,1,1,1, , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020003500,JARDIN DE INFANTES EL CENTAVO,Privado,Urbano,JUNCAL 1264 RETIRO,C1062,11,4812-1178,02101001,CIUDAD DE BUENOS AIRES,Comuna 1,CINDERELLAJUNCAL@HOTMAIL.COM,1, , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020003600,VALENTIN GOMEZ,Estatal,Urbano,AVDA. INDEPENDENCIA 758 SAN TELMO,C1099,11,4300-4258,02101001,CIUDAD DE BUENOS AIRES,Comuna 1,DEAA_EP1_DE3@BUE.EDU.AR, , ,1, , , , , , , , , , , , , , , , , , , ,1, , ,1, , , , , 
Ciudad de Buenos Aires,020003700,JIN B HOMERO MANZI DE 19 (N°11),Estatal,Urbano,MOM 2380 NUEVA POMPEYA,C1437,11,4924-4493,02104001,CIUDAD DE BUENOS AIRES,Comuna 4,dei_jinb22_de19@bue.edu.ar,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020003701,JIN B HOMERO MANZI DE 19 (N°1),Estatal,Urbano,ALAGON 300 NUEVA POMPEYA,C1437,11,4924-4493,02104001,CIUDAD DE BUENOS AIRES,Comuna 4,dei_jin22_de19@bue.edu.ar,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020003703,JIN B HOMERO MANZI DE 19 (N°10),Estatal,Urbano,ANIBAL PEDRO ARBELETCHE 1052 NUEVA POMPEYA,C1437,11,4924-4493,02104001,CIUDAD DE BUENOS AIRES,Comuna 4,dei_jin22_de19@bue.edu.ar,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020003800,MARIA SILVENTI DE AMATO,Estatal,Urbano,ALAGON 300 NUEVA POMPEYA,C1437,11,4923-9002,02104001,CIUDAD DE BUENOS AIRES,Comuna 4,dep_epc1_de19@bue.edu.ar,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020003900,PROFESOR CARLOS JUSTO FLORIT,Estatal,Urbano,TILCARA 2856 NUEVA POMPEYA,C1437,11,4918-3640,02104001,CIUDAD DE BUENOS AIRES,Comuna 4,dep_epc3_de19@bue.edu.ar,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020004000,RICARDO GUIRALDES,Estatal,Urbano,AVDA. RIESTRA 1850 FLORES,C1437,11,4918-8935,02107001,CIUDAD DE BUENOS AIRES,Comuna 7,dep_epc4_de19@bue.edu.ar,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020004100,PROVINCIA DE CORRIENTES,Estatal,Urbano,AVDA. CASEROS 4050 NUEVA POMPEYA,C1437,11,4925-1525,02104001,CIUDAD DE BUENOS AIRES,Comuna 4,dep_epc5_de19@bue.edu.ar,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020004200,AERONAUTICA ARGENTINA,Estatal,Urbano,QUILMES 473 NUEVA POMPEYA,C1437,11,4923-1183/4912-2030,02104001,CIUDAD DE BUENOS AIRES,Comuna 4,dep_epc7_de19@bue.edu.ar,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020004300,JUAN ANDRES DE LA PEÑA,Estatal,Urbano,ANIBAL PEDRO ARBELETCHE 1052 NUEVA POMPEYA,C1437,11,4922-6261,02104001,CIUDAD DE BUENOS AIRES,Comuna 4,dep_epc10_de19@bue.edu.ar,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020004400,JII Nº 01 DE 19,Estatal,Urbano,LAS CARACOLAS 2152 FLORES BARRIO RIVADAVIA,C1406,11,4631-5290/4633-5872,02107001,CIUDAD DE BUENOS AIRES,Comuna 7,dei_jii1_de19@bue.edu.ar,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020004500,CENS Nº 63 DE 01,Estatal,Urbano,MARCELO T. DE ALVEAR 1840 RECOLETA SUBSUELO,C1122,11,4815-3179,02102001,CIUDAD DE BUENOS AIRES,Comuna 2,DEAA_CENS63_DE1@BUE.EDU.AR, , ,1, , , , , , , , , , , , , , , , , , , , ,1, , , , , , , 
Ciudad de Buenos Aires,020004600,REPUBLICA DE HONDURAS,Estatal,Urbano,AVDA. ELCANO 4861 PATERNAL,C1427,11,4553-1049,02115001,CIUDAD DE BUENOS AIRES,Comuna 15,dep_epc20_de14@bue.edu.ar,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020004700,INSTITUTO BAYARD,Privado,Urbano,CASTEX 3348 PALERMO,C1425,11,4803-0902,02114001,CIUDAD DE BUENOS AIRES,Comuna 14,BAY@BAYARD.ESC.EDU.AR,1, , , , , , ,1,1,1, , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020004800,CABILDO DE BUENOS AIRES,Estatal,Urbano,AVDA. FEDERICO LACROZE 3839 CHACARITA,C1427,11,4553-5347,02115001,CIUDAD DE BUENOS AIRES,Comuna 15,dep_epc18_de14@bue.edu.ar/ESCUELA18DE14FAX@GMAIL.COM,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020004900,INSTITUTO PARROQUIAL SANTA LUCIA,Privado,Urbano,ISABEL LA CATOLICA 221 BARRACAS 235,C1268,11,4362-6061,02104001,CIUDAD DE BUENOS AIRES,Comuna 4,COLEGIOSANTALUCIA2005@YAHOO.COM.AR,1, , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020005000,DR. PEDRO MELITON LEDESMA,Estatal,Urbano,TRAFUL 3835 NUEVA POMPEYA,C1437,11,4911-8654,02104001,CIUDAD DE BUENOS AIRES,Comuna 4,dep_epc17_de5@bue.edu.ar,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020005100,INGENIERO ALVAREZ CONDARCO,Estatal,Urbano,GIRARDOT 1946 VILLA ORTUZAR,C1427,11,4521-5831,02115001,CIUDAD DE BUENOS AIRES,Comuna 15,dep_epc3_de14@bue.edu.ar / ESCUELA3DE14@GMAIL.COM,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020005200,ESCUELA INTEGRAL INTERDISCIPLINARIA N° 14 DE 14,Estatal,Urbano,AVDA. TRIUNVIRATO 3626 VILLA ORTUZAR,C1427,11,4521-8869,02115001,CIUDAD DE BUENOS AIRES,Comuna 15,EDREC14_DE14@BUE.EDU.AR, ,1, , , , , , , , , , , , , , , , , ,1, ,1, , , , , , , , , 
Ciudad de Buenos Aires,020005300,PRESIDENTE DERQUI,Estatal,Urbano,CALIFORNIA 1925 BARRACAS,C1289,11,4301-5133,02104001,CIUDAD DE BUENOS AIRES,Comuna 4,dep_epc24_de4@bue.edu.ar,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020005400,INSTITUTO SAN JUAN MARIA VIANNEY,Privado,Urbano,AVDA. SAN MARTIN 4460 VILLA DEL PARQUE,C1417,11,4502-5220,02111001,CIUDAD DE BUENOS AIRES,Comuna 11,ADMIVIANNEY@HOTMAIL.COM,1, , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020005500,INSTITUTO INTEGRAL DEL SUD,Privado,Urbano,DEFENSA 1318 SAN TELMO,C1143,11,4361-5631,02101001,CIUDAD DE BUENOS AIRES,Comuna 1,INTEGRAL_DEL_SUD@YAHOO.COM.AR,1, , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020005600,FRANCISCO DE GURRUCHAGA,Estatal,Urbano,AVDA. JUJUY 1471 SAN CRISTOBAL,C1247,11,4941-5295,02103001,CIUDAD DE BUENOS AIRES,Comuna 3,dep_epc10_de6@bue.edu.ar,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020005700,ESCUELA INTEGRAL INTERDISCIPLINARIA Nº 06 DE 06,Estatal,Urbano,INCLAN 3146 PARQUE PATRICIOS,C1258,11,4911-7750,02104001,CIUDAD DE BUENOS AIRES,Comuna 4,EDREC6_DE6@BUE.EDU.AR, ,1, , , , , , , , , , , , , , , , , ,1, ,1, , , , , , , , , 
Ciudad de Buenos Aires,020005800,COLEGIO SECUNDARIO STO TOMAS DE AQUINO,Privado,Urbano,TTE. GRAL. JUAN DOMINGO PERON 1862 BALVANERA,C1040,11,4371-2238,02103001,CIUDAD DE BUENOS AIRES,Comuna 3,CSTA_CONGRESO@UCA.EDU.AR,1, , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020005801,COLEGIO SEC. STO TOMAS DE AQUINO,Privado,Urbano,CAP. GRAL. RAMON FREIRE 145 COLEGIALES,C1426,11,4553-5278,02113001,CIUDAD DE BUENOS AIRES,Comuna 13,CSTA_COLEGIALES@UCA.EDU.AR,1, , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020006000,ESC. HOSPITALARIA Nº 02 DE 05,Estatal,Urbano,COMBATE DE LOS POZOS 1881 PARQUE PATRICIOS HOSP. DR. PROF. J.P.GARRAHAM,C1245,11,4943-7363,02104001,CIUDAD DE BUENOS AIRES,Comuna 4,EH2_DE5@BUE.EDU.AR, , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1
Ciudad de Buenos Aires,020006100,CENS Nº 21 DE 14,Estatal,Urbano,BALBOA 210 PATERNAL,C1427,11,4554-9294,02101001,CIUDAD DE BUENOS AIRES,Comuna 1,deaa_cens21_de4@bue.edu.ar, , ,1, , , , , , , , , , , , , , , , , , , , ,1, , , , , , , 
Ciudad de Buenos Aires,020006200,ESCUELA INTEGRAL INTERDISCIPLINARIA N° 05 DE 05,Estatal,Urbano,JOSE A. CORTEJARENA 3350 PARQUE PATRICIOS,C1437,11,4911-0796,02104001,CIUDAD DE BUENOS AIRES,Comuna 4,edrec5_de5@bue.edu.ar, ,1, , , , , , , , , , , , , , , , , ,1, ,1, , , , , , , , , 
Ciudad de Buenos Aires,020006300,GENERAL GUEMES,Estatal,Urbano,CARLOS CALVO 1140 CONSTITUCION,C1102,11,4305-2218,02101001,CIUDAD DE BUENOS AIRES,Comuna 1,dep_epc7_de3@bue.edu.ar,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020006500,INST. HOGAR DEL PINO,Privado,Urbano,CONSTITUCION 1650 CONSTITUCION,C1151,11,4305-0162,02101001,CIUDAD DE BUENOS AIRES,Comuna 1,HOGAR_DEL_PINO@YAHOO.COM.AR,1, , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020007000,CENS Nº 66 VETERANOS DE GUERRA DE MALVINAS DE 16,Estatal,Urbano,JOSE CUBAS 4182 VILLA DEVOTO,C1419,11,4587-6322,02101001,CIUDAD DE BUENOS AIRES,Comuna 1,DEAA_CENS66_DE3@BUE.EDU.AR, , ,1, , , , , , , , , , , , , , , , , , , , ,1, , , , , , , 
Ciudad de Buenos Aires,020007100,GRAL MARIANO NECOCHEA,Estatal,Urbano,PTE. LUIS SAENZ PEÑA 463 MONTSERRAT,C1110,11,4383-9105/5420,02101001,CIUDAD DE BUENOS AIRES,Comuna 1,dep_epc14_de3@bue.edu.ar,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020007200,INSTITUTO NUESTRA SEÑORA DE MONSERRAT,Privado,Urbano,AVDA. BELGRANO 1344 MONTSERRAT VENEZUELA 1232,C1095,11,4383-7817/4381-1001,02101001,CIUDAD DE BUENOS AIRES,Comuna 1,institutomontserrat1885@gmail.com//jardinmontserrat@hotmail.com,1, , , , , , ,1,1,1, , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020007300,FRAY CAYETANO RODRIGUEZ,Estatal,Urbano,CHILE 1670 MONTSERRAT,C1100,11,4383-3080,02101001,CIUDAD DE BUENOS AIRES,Comuna 1,dep_epc2_de3@bue.edu.ar,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020007500,JIN D DE 18 (ESC. PRIM. N° 08 DE 18),Estatal,Urbano,CNEL. PEDRO CALDERON DE LA BARCA 157 VILLA LURO,C1407,11,4674-0880,02110001,CIUDAD DE BUENOS AIRES,Comuna 10,dei_jind8_de18@bue.edu.ar / JIND18@GMAIL.COM,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020007501,JIN D DE 18 (ESC. PRIM. Nº 07 DE 18),Estatal,Urbano,AVDA. RIVADAVIA 9799 VILLA LURO,C1407,11,4674-0880,02110001,CIUDAD DE BUENOS AIRES,Comuna 10,dei_JIND8_DE18@bue.edu.ar,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020007502,JIN D DE 18 (ESC. PRIM. N° 10 DE 18),Estatal,Urbano,DR. LUIS BELAUSTEGUI 4949 VELEZ SARSFIELD,C1407,11,4674-0880,02110001,CIUDAD DE BUENOS AIRES,Comuna 10,dei_JIND8_DE18@bue.edu.ar,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020007600,JIC Nº 03 DE 05,Estatal,Urbano,LUZURIAGA 1571 BARRACAS,C1279,11,4301-7741,02104001,CIUDAD DE BUENOS AIRES,Comuna 4,dei_jic3_de5@bue.edu.ar,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020007700,NIEVES ESCALADA DE OROMI,Estatal,Urbano,SAN ANTONIO 682 BARRACAS,C1276,11,4301-1867,02104001,CIUDAD DE BUENOS AIRES,Comuna 4,dep_epc20_de5@bue.edu.ar,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020007800,INSTITUTO PIO IX,Privado,Urbano,YAPEYU 197 ALMAGRO,C1202,11,4981-1337/1985,02105001,CIUDAD DE BUENOS AIRES,Comuna 5,INFO@PIOIX.EDU.AR/SECRETARIAPIOIX@GMAIL.COM,1, , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020007900,COLEGIO Nº 13 CNEL.DE MARINA TOMAS ESPORA DE 18,Estatal,Urbano,GALLARDO 149 LINIERS,C1408,11,4641-2011/6074,02109001,CIUDAD DE BUENOS AIRES,Comuna 9,dem_col13_de18@bue.edu.ar,1, , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020008000,ESCUELA INTEGRAL INTERDISCIPLINARIA N°18 DE 18,Estatal,Urbano,SAN BLAS 4356 FLORESTA,C1407,11,4567-3044,02110001,CIUDAD DE BUENOS AIRES,Comuna 10,EDREC18_DE18@BUE.EDU.AR, ,1, , , , , , , , , , , , , , , , , ,1, ,1, , , , , , , , , 
Ciudad de Buenos Aires,020008200,INST MARIA BIANCHI DE COPELLO,Privado,Urbano,JOSE ANDRES PACHECO DE MELO 2455 RECOLETA,C1425,11,4806-9135,02102001,CIUDAD DE BUENOS AIRES,Comuna 2,COPELLO364@GMAIL.COM,1, , , , , , ,1,1,1, , , , , , , , , , , , , , , , , , , , , 
