,63,   2 027,0.92%,85.14%
,64,   1 848,0.84%,85.98%
,65,   2 059,0.93%,86.91%
,66,   1 840,0.83%,87.74%
,67,   1 706,0.77%,88.51%
,68,   1 665,0.75%,89.27%
,69,   1 699,0.77%,90.04%
,70,   1 692,0.77%,90.80%
,71,   1 553,0.70%,91.51%
,72,   1 515,0.69%,92.19%
,73,   1 532,0.69%,92.88%
,74,   1 457,0.66%,93.54%
,75,   1 311,0.59%,94.14%
,76,   1 334,0.60%,94.74%
,77,   1 220,0.55%,95.29%
,78,   1 206,0.55%,95.84%
,79,   1 067,0.48%,96.32%
,80,    976,0.44%,96.76%
,81,    876,0.40%,97.16%
,82,    870,0.39%,97.55%
,83,    724,0.33%,97.88%
,84,    600,0.27%,98.15%
,85,    587,0.27%,98.42%
,86,    534,0.24%,98.66%
,87,    479,0.22%,98.88%
,88,    368,0.17%,99.04%
,89,    386,0.17%,99.22%
,90,    382,0.17%,99.39%
,91,    307,0.14%,99.53%
,92,    229,0.10%,99.63%
,93,    213,0.10%,99.73%
,94,    160,0.07%,99.80%
,95,    123,0.06%,99.86%
,96,    111,0.05%,99.91%
,97,    89,0.04%,99.95%
,98,    35,0.02%,99.96%
,99,    32,0.01%,99.98%
,100,    18,0.01%,99.99%
,101,    6,0.00%,99.99%
,102,    7,0.00%,99.99%
,103,    6,0.00%,99.99%
,104,    6,0.00%,100.00%
,105,    1,0.00%,100.00%
,106,    3,0.00%,100.00%
,107,    2,0.00%,100.00%
,109,    1,0.00%,100.00%
,110,    1,0.00%,100.00%
,Total,   221 001,100.00%,100.00%
,,,,
,AREA # 02014,Comuna 2,,
,,,,
,Edad,Casos,%,Acumulado %
,0,   1 070,0.67%,0.67%
,1,    980,0.61%,1.28%
,2,   1 045,0.65%,1.93%
,3,   1 182,0.74%,2.66%
,4,   1 102,0.69%,3.35%
,5,   1 237,0.77%,4.12%
,6,   1 261,0.79%,4.90%
,7,   1 262,0.79%,5.69%
,8,   1 232,0.77%,6.46%
,9,   1 276,0.79%,7.25%
,10,   1 222,0.76%,8.01%
,11,   1 250,0.78%,8.79%
,12,   1 255,0.78%,9.57%
,13,   1 286,0.80%,10.37%
,14,   1 167,0.73%,11.10%
,15,   1 217,0.76%,11.86%
,16,   1 327,0.83%,12.68%
,17,   1 570,0.98%,13.66%
,18,   2 588,1.61%,15.27%
,19,   2 855,1.78%,17.05%
,20,   3 090,1.92%,18.97%
,21,   3 248,2.02%,21.00%
,22,   3 437,2.14%,23.14%
,23,   3 258,2.03%,25.16%
,24,   3 230,2.01%,27.18%
,25,   3 292,2.05%,29.23%
,26,   3 169,1.97%,31.20%
,27,   3 094,1.93%,33.13%
,28,   2 982,1.86%,34.98%
,29,   2 930,1.82%,36.81%
,30,   2 966,1.85%,38.65%
,31,   2 687,1.67%,40.33%
,32,   2 610,1.63%,41.95%
,33,   2 552,1.59%,43.54%
,34,   2 425,1.51%,45.05%
,35,   2 486,1.55%,46.60%
,36,   2 346,1.46%,48.06%
,37,   2 163,1.35%,49.41%
,38,   2 056,1.28%,50.69%
,39,   2 037,1.27%,51.95%
,40,   2 100,1.31%,53.26%
,41,   1 905,1.19%,54.45%
,42,   2 058,1.28%,55.73%
,43,   1 935,1.20%,56.93%
,44,   1 882,1.17%,58.11%
,45,   1 953,1.22%,59.32%
,46,   1 930,1.20%,60.52%
,47,   1 890,1.18%,61.70%
,48,   1 851,1.15%,62.85%
,49,   1 790,1.11%,63.97%
,50,   1 889,1.18%,65.14%
,51,   1 782,1.11%,66.25%
,52,   1 698,1.06%,67.31%
,53,   1 707,1.06%,68.37%
,54,   1 684,1.05%,69.42%
,55,   1 631,1.02%,70.44%
,56,   1 644,1.02%,71.46%
,57,   1 679,1.05%,72.51%
,58,   1 645,1.02%,73.53%
,59,   1 689,1.05%,74.58%
,60,   1 763,1.10%,75.68%
,61,   1 727,1.08%,76.75%
,62,   1 597,0.99%,77.75%
,63,   1 606,1.00%,78.75%
,64,   1 568,0.98%,79.72%
,65,   1 632,1.02%,80.74%
,66,   1 514,0.94%,81.68%
,67,   1 525,0.95%,82.63%
,68,   1 490,0.93%,83.56%
,69,   1 609,1.00%,84.56%
,70,   1 613,1.00%,85.57%
,71,   1 538,0.96%,86.52%
,72,   1 496,0.93%,87.46%
,73,   1 494,0.93%,88.39%
,74,   1 432,0.89%,89.28%
,75,   1 488,0.93%,90.20%
,76,   1 442,0.90%,91.10%
,77,   1 437,0.89%,92.00%
,78,   1 294,0.81%,92.80%
,79,   1 267,0.79%,93.59%
,80,   1 163,0.72%,94.32%
,81,   1 118,0.70%,95.01%
,82,   1 015,0.63%,95.64%
,83,    858,0.53%,96.18%
,84,    829,0.52%,96.69%
,85,    726,0.45%,97.15%
,86,    697,0.43%,97.58%
,87,    601,0.37%,97.95%
,88,    541,0.34%,98.29%
,89,    484,0.30%,98.59%
,90,    451,0.28%,98.87%
,91,    409,0.25%,99.13%
,92,    321,0.20%,99.33%
,93,    255,0.16%,99.49%
,94,    229,0.14%,99.63%
,95,    173,0.11%,99.74%
,96,    128,0.08%,99.82%
,97,    104,0.06%,99.88%
,98,    60,0.04%,99.92%
,99,    49,0.03%,99.95%
,100,    31,0.02%,99.97%
,101,    14,0.01%,99.98%
,102,    13,0.01%,99.99%
,103,    6,0.00%,99.99%
,104,    9,0.01%,99.99%
,105,    3,0.00%,100.00%
,107,    2,0.00%,100.00%
,108,    4,0.00%,100.00%
,Total,   160 609,100.00%,100.00%
,,,,
,AREA # 02021,Comuna 3,,
,,,,
,Edad,Casos,%,Acumulado %
,0,   1 303,0.67%,0.67%
,1,   1 302,0.67%,1.35%
,2,   1 416,0.73%,2.08%
,3,   1 529,0.79%,2.87%
,4,   1 797,0.93%,3.80%
,5,   1 871,0.97%,4.76%
,6,   1 838,0.95%,5.71%
,7,   2 005,1.04%,6.75%
,8,   2 006,1.04%,7.79%
,9,   1 943,1.00%,8.79%
,10,   1 988,1.03%,9.82%
,11,   2 040,1.05%,10.87%
,12,   2 037,1.05%,11.92%
,13,   2 051,1.06%,12.98%
,14,   1 959,1.01%,13.99%
,15,   1 877,0.97%,14.96%
,16,   1 961,1.01%,15.98%
,17,   2 122,1.10%,17.07%
,18,   2 352,1.22%,18.29%
,19,   2 577,1.33%,19.62%
,20,   2 704,1.40%,21.02%
,21,   2 943,1.52%,22.54%
,22,   3 230,1.67%,24.21%
,23,   3 110,1.61%,25.81%
,24,   3 200,1.65%,27.47%
,25,   3 325,1.72%,29.19%
,26,   3 344,1.73%,30.91%
,27,   3 343,1.73%,32.64%
,28,   3 277,1.69%,34.33%
,29,   3 421,1.77%,36.10%
,30,   3 575,1.85%,37.95%
,31,   3 478,1.80%,39.75%
,32,   3 403,1.76%,41.50%
,33,   3 424,1.77%,43.27%
,34,   3 324,1.72%,44.99%
,35,   3 346,1.73%,46.72%
,36,   3 045,1.57%,48.29%
,37,   3 018,1.56%,49.85%
,38,   2 904,1.50%,51.35%
,39,   2 861,1.48%,52.83%
,40,   3 077,1.59%,54.42%
,41,   2 815,1.45%,55.88%
,42,   2 950,1.52%,57.40%
,43,   2 838,1.47%,58.87%
,44,   2 782,1.44%,60.30%
,45,   2 797,1.45%,61.75%
,46,   2 713,1.40%,63.15%
,47,   2 671,1.38%,64.53%
,48,   2 535,1.31%,65.84%
,49,   2 545,1.31%,67.16%
,50,   2 678,1.38%,68.54%
,51,   2 412,1.25%,69.79%
,52,   2 434,1.26%,71.04%
,53,   2 270,1.17%,72.22%
,54,   2 208,1.14%,73.36%
,55,   2 159,1.12%,74.47%
,56,   2 147,1.11%,75.58%
,57,   2 086,1.08%,76.66%
,58,   2 049,1.06%,77.72%
,59,   2 153,1.11%,78.83%
,60,   2 232,1.15%,79.98%
,61,   1 954,1.01%,80.99%
,62,   2 075,1.07%,82.07%
,63,   1 894,0.98%,83.05%
,64,   1 866,0.96%,84.01%
,65,   1 977,1.02%,85.03%
,66,   1 808,0.93%,85.96%
,67,   1 731,0.89%,86.86%
,68,   1 699,0.88%,87.74%
,69,   1 736,0.90%,88.63%
,70,   1 614,0.83%,89.47%
,71,   1 579,0.82%,90.28%
,72,   1 546,0.80%,91.08%
,73,   1 458,0.75%,91.84%
,74,   1 322,0.68%,92.52%
,75,   1 373,0.71%,93.23%
,76,   1 330,0.69%,93.92%
,77,   1 270,0.66%,94.57%
,78,   1 177,0.61%,95.18%
,79,   1 081,0.56%,95.74%
,80,    991,0.51%,96.25%
,81,    879,0.45%,96.71%
,82,    800,0.41%,97.12%
,83,    788,0.41%,97.53%
,84,    652,0.34%,97.86%
,85,    593,0.31%,98.17%
,86,    565,0.29%,98.46%
,87,    481,0.25%,98.71%
,88,    415,0.21%,98.92%
,89,    399,0.21%,99.13%
,90,    349,0.18%,99.31%
,91,    321,0.17%,99.48%
,92,    248,0.13%,99.60%
,93,    214,0.11%,99.71%
,94,    153,0.08%,99.79%
,95,    134,0.07%,99.86%
,96,    91,0.05%,99.91%
,97,    53,0.03%,99.94%
,98,    48,0.02%,99.96%
,99,    35,0.02%,99.98%
,100,    10,0.01%,99.99%
,101,    9,0.00%,99.99%
,102,    5,0.00%,99.99%
,103,    6,0.00%,100.00%
,104,    5,0.00%,100.00%
,105,    1,0.00%,100.00%
,107,    1,0.00%,100.00%
,109,    1,0.00%,100.00%
,Total,   193 537,100.00%,100.00%
,,,,
,AREA # 02028,Comuna 4,,
,,,,
,Edad,Casos,%,Acumulado %
,0,   1 760,0.78%,0.78%
,1,   1 819,0.80%,1.58%
,2,   2 145,0.94%,2.52%
,3,   2 501,1.10%,3.62%
,4,   2 709,1.19%,4.82%
,5,   2 909,1.28%,6.10%
,6,   3 164,1.39%,7.49%
,7,   3 181,1.40%,8.89%
,8,   3 238,1.43%,10.32%
,9,   3 148,1.39%,11.71%
,10,   3 229,1.42%,13.13%
,11,   3 282,1.45%,14.57%
,12,   3 278,1.44%,16.02%
,13,   3 143,1.38%,17.40%
,14,   3 035,1.34%,18.74%
,15,   3 023,1.33%,20.07%
,16,   3 173,1.40%,21.47%
,17,   3 195,1.41%,22.88%
,18,   3 300,1.45%,24.33%
,19,   3 241,1.43%,25.76%
,20,   3 188,1.40%,27.16%
,21,   3 396,1.50%,28.66%
,22,   3 446,1.52%,30.17%
,23,   3 314,1.46%,31.63%
,24,   3 387,1.49%,33.13%
,25,   3 425,1.51%,34.63%
,26,   3 425,1.51%,36.14%
,27,   3 397,1.50%,37.64%
,28,   3 366,1.48%,39.12%
,29,   3 466,1.53%,40.65%
,30,   3 611,1.59%,42.24%
,31,   3 542,1.56%,43.80%
,32,   3 539,1.56%,45.36%
,33,   3 625,1.60%,46.96%
,34,   3 556,1.57%,48.52%
,35,   3 532,1.56%,50.08%
,36,   3 489,1.54%,51.61%
,37,   3 373,1.49%,53.10%
,38,   3 359,1.48%,54.58%
,39,   3 384,1.49%,56.07%
,40,   3 566,1.57%,57.64%
,41,   3 263,1.44%,59.08%
,42,   3 630,1.60%,60.68%
,43,   3 362,1.48%,62.16%
,44,   3 272,1.44%,63.60%
,45,   3 230,1.42%,65.02%
,46,   3 208,1.41%,66.44%
,47,   3 128,1.38%,67.81%
,48,   2 915,1.28%,69.10%
,49,   2 970,1.31%,70.41%
,50,   2 958,1.30%,71.71%
,51,   2 712,1.19%,72.90%
,52,   2 712,1.19%,74.10%
,53,   2 656,1.17%,75.27%
,54,   2 472,1.09%,76.36%
,55,   2 435,1.07%,77.43%
,56,   2 393,1.05%,78.48%
,57,   2 322,1.02%,79.51%
,58,   2 282,1.01%,80.51%
,59,   2 337,1.03%,81.54%
,60,   2 252,0.99%,82.53%
,61,   2 222,0.98%,83.51%
,62,   2 164,0.95%,84.46%
,63,   2 154,0.95%,85.41%
,64,   2 095,0.92%,86.34%
,65,   2 081,0.92%,87.25%
,66,   1 848,0.81%,88.07%
,67,   1 862,0.82%,88.89%
,68,   1 823,0.80%,89.69%
,69,   1 780,0.78%,90.47%
,70,   1 689,0.74%,91.22%
,71,   1 651,0.73%,91.94%
,72,   1 574,0.69%,92.64%
,73,   1 389,0.61%,93.25%
,74,   1 403,0.62%,93.87%
,75,   1 323,0.58%,94.45%
,76,   1 270,0.56%,95.01%
,77,   1 231,0.54%,95.55%
,78,   1 118,0.49%,96.04%
,79,   1 043,0.46%,96.50%
,80,    909,0.40%,96.90%
,81,    849,0.37%,97.28%
,82,    848,0.37%,97.65%
,83,    705,0.31%,97.96%
,84,    668,0.29%,98.26%
,85,    554,0.24%,98.50%
,86,    572,0.25%,98.75%
,87,    477,0.21%,98.96%
,88,    406,0.18%,99.14%
,89,    402,0.18%,99.32%
,90,    295,0.13%,99.45%
,91,    324,0.14%,99.59%
,92,    250,0.11%,99.70%
,93,    162,0.07%,99.77%
,94,    175,0.08%,99.85%
,95,    91,0.04%,99.89%
,96,    73,0.03%,99.92%
,97,    71,0.03%,99.95%
,98,    42,0.02%,99.97%
,99,    30,0.01%,99.99%
,100,    11,0.00%,99.99%
,101,    7,0.00%,99.99%
,102,    7,0.00%,100.00%
,103,    3,0.00%,100.00%
,104,    2,0.00%,100.00%
,107,    2,0.00%,100.00%
,110,    1,0.00%,100.00%
,Total,   227 024,100.00%,100.00%
,,,,
,AREA # 02035,Comuna 5,,
,,,,
,Edad,Casos,%,Acumulado %
,0,   1 139,0.59%,0.59%
,1,   1 210,0.63%,1.22%
,2,   1 320,0.69%,1.91%
,3,   1 442,0.75%,2.66%
,4,   1 555,0.81%,3.46%
,5,   1 782,0.93%,4.39%
,6,   1 815,0.94%,5.33%
,7,   1 889,0.98%,6.31%
,8,   1 863,0.97%,7.28%
,9,   1 818,0.94%,8.23%
,10,   1 805,0.94%,9.17%
,11,   1 961,1.02%,10.18%
,12,   1 878,0.98%,11.16%
,13,   1 824,0.95%,12.11%
,14,   1 799,0.93%,13.04%
,15,   1 937,1.01%,14.05%
,16,   1 893,0.98%,15.03%
,17,   1 984,1.03%,16.06%
,18,   2 179,1.13%,17.20%
,19,   2 148,1.12%,18.31%
,20,   2 294,1.19%,19.50%
,21,   2 511,1.30%,20.81%
,22,   2 575,1.34%,22.15%
,23,   2 404,1.25%,23.40%
,24,   2 611,1.36%,24.75%
,25,   2 839,1.48%,26.23%
,26,   2 752,1.43%,27.66%
,27,   2 988,1.55%,29.21%
,28,   3 160,1.64%,30.85%
,29,   3 108,1.61%,32.47%
,30,   3 323,1.73%,34.19%
,31,   3 409,1.77%,35.97%
,32,   3 256,1.69%,37.66%
,33,   3 486,1.81%,39.47%
,34,   3 270,1.70%,41.17%
,35,   3 491,1.81%,42.98%
,36,   3 283,1.71%,44.69%
,37,   3 305,1.72%,46.41%
,38,   3 123,1.62%,48.03%
,39,   3 004,1.56%,49.59%
,40,   3 225,1.68%,51.26%
,41,   2 890,1.50%,52.77%
,42,   3 084,1.60%,54.37%
,43,   2 901,1.51%,55.88%
,44,   2 965,1.54%,57.42%
,45,   2 958,1.54%,58.95%
,46,   2 792,1.45%,60.40%
,47,   2 790,1.45%,61.85%
,48,   2 733,1.42%,63.27%
,49,   2 665,1.38%,64.66%
,50,   2 629,1.37%,66.03%
,51,   2 429,1.26%,67.29%
,52,   2 354,1.22%,68.51%
,53,   2 265,1.18%,69.69%
,54,   2 231,1.16%,70.85%
,55,   2 184,1.13%,71.98%
,56,   2 198,1.14%,73.12%
,57,   2 305,1.20%,74.32%
,58,   2 115,1.10%,75.42%
,59,   2 206,1.15%,76.57%
,60,   2 228,1.16%,77.72%
,61,   2 084,1.08%,78.81%
,62,   2 079,1.08%,79.89%
,63,   2 027,1.05%,80.94%
,64,   2 009,1.04%,81.98%
,65,   2 168,1.13%,83.11%
,66,   2 029,1.05%,84.17%
,67,   1 881,0.98%,85.14%
,68,   1 710,0.89%,86.03%
,69,   1 883,0.98%,87.01%
,70,   1 851,0.96%,87.97%
,71,   1 809,0.94%,88.91%
,72,   1 763,0.92%,89.83%
,73,   1 655,0.86%,90.69%
,74,   1 604,0.83%,91.52%
,75,   1 536,0.80%,92.32%
,76,   1 511,0.79%,93.10%
,77,   1 427,0.74%,93.85%
,78,   1 267,0.66%,94.50%
,79,   1 158,0.60%,95.11%
,80,   1 102,0.57%,95.68%
,81,   1 034,0.54%,96.22%
,82,    860,0.45%,96.66%
,83,    878,0.46%,97.12%
,84,    780,0.41%,97.52%
,85,    724,0.38%,97.90%
,86,    646,0.34%,98.24%
,87,    556,0.29%,98.53%
,88,    487,0.25%,98.78%
,89,    459,0.24%,99.02%
,90,    385,0.20%,99.22%
,91,    310,0.16%,99.38%
,92,    298,0.15%,99.53%
,93,    253,0.13%,99.66%
,94,    172,0.09%,99.75%
,95,    130,0.07%,99.82%
,96,    143,0.07%,99.90%
,97,    73,0.04%,99.93%
,98,    51,0.03%,99.96%
,99,    31,0.02%,99.98%
,100,    20,0.01%,99.99%
,101,    10,0.01%,99.99%
,102,    7,0.00%,100.00%
,103,    3,0.00%,100.00%
,104,    1,0.00%,100.00%
,105,    1,0.00%,100.00%
,108,    1,0.00%,100.00%
,109,    3,0.00%,100.00%
,Total,   192 449,100.00%,100.00%
,,,,
,AREA # 02042,Comuna 6,,
,,,,
,Edad,Casos,%,Acumulado %
,0,   1 287,0.64%,0.64%
,1,   1 289,0.64%,1.28%
,2,   1 448,0.72%,1.99%
,3,   1 611,0.80%,2.79%
,4,   1 692,0.84%,3.63%
,5,   1 855,0.92%,4.55%
,6,   1 870,0.93%,5.48%
,7,   1 953,0.97%,6.45%
,8,   1 979,0.98%,7.43%
,9,   1 993,0.99%,8.41%
,10,   1 934,0.96%,9.37%
,11,   2 090,1.04%,10.41%
,12,   2 070,1.03%,11.43%
,13,   2 033,1.01%,12.44%
,14,   2 024,1.00%,13.45%
,15,   2 017,1.00%,14.45%
,16,   1 988,0.99%,15.43%
,17,   2 070,1.03%,16.46%
,18,   2 149,1.07%,17.52%
,19,   2 107,1.04%,18.57%
,20,   2 196,1.09%,19.65%
,21,   2 245,1.11%,20.77%
,22,   2 205,1.09%,21.86%
,23,   2 251,1.12%,22.98%
,24,   2 256,1.12%,24.09%
,25,   2 413,1.20%,25.29%
,26,   2 630,1.30%,26.59%
,27,   2 795,1.39%,27.98%
,28,   2 846,1.41%,29.39%
,29,   2 965,1.47%,30.86%
,30,   3 140,1.56%,32.41%
,31,   3 279,1.63%,34.04%
,32,   3 305,1.64%,35.68%
,33,   3 343,1.66%,37.33%
,34,   3 206,1.59%,38.92%
,35,   3 421,1.70%,40.62%
,36,   3 208,1.59%,42.21%
,37,   3 284,1.63%,43.84%
,38,   3 235,1.60%,45.44%
,39,   3 169,1.57%,47.01%
,40,   3 346,1.66%,48.67%
,41,   3 196,1.58%,50.25%
,42,   3 196,1.58%,51.84%
,43,   3 225,1.60%,53.44%
,44,   3 148,1.56%,55.00%
,45,   3 161,1.57%,56.56%
,46,   3 179,1.58%,58.14%
,47,   3 100,1.54%,59.67%
,48,   2 953,1.46%,61.14%
,49,   2 716,1.35%,62.48%
,50,   2 900,1.44%,63.92%
,51,   2 535,1.26%,65.18%
,52,   2 431,1.20%,66.38%
,53,   2 391,1.19%,67.57%
,54,   2 366,1.17%,68.74%
,55,   2 217,1.10%,69.84%
,56,   2 327,1.15%,70.99%
,57,   2 327,1.15%,72.15%
,58,   2 193,1.09%,73.23%
,59,   2 427,1.20%,74.44%
,60,   2 353,1.17%,75.60%
,61,   2 282,1.13%,76.73%
,62,   2 420,1.20%,77.93%
,63,   2 270,1.13%,79.06%
,64,   2 287,1.13%,80.19%
,65,   2 305,1.14%,81.33%
,66,   2 171,1.08%,82.41%
,67,   2 168,1.07%,83.48%
,68,   2 053,1.02%,84.50%
,69,   2 114,1.05%,85.55%
,70,   2 146,1.06%,86.61%
,71,   1 979,0.98%,87.59%
,72,   2 018,1.00%,88.59%
,73,   1 902,0.94%,89.54%
,74,   1 777,0.88%,90.42%
,75,   1 805,0.89%,91.31%
,76,   1 864,0.92%,92.24%
,77,   1 604,0.79%,93.03%
,78,   1 564,0.78%,93.81%
,79,   1 334,0.66%,94.47%
,80,   1 276,0.63%,95.10%
,81,   1 155,0.57%,95.67%
,82,   1 177,0.58%,96.26%
,83,    940,0.47%,96.72%
,84,    902,0.45%,97.17%
,85,    820,0.41%,97.57%
,86,    759,0.38%,97.95%
,87,    636,0.32%,98.27%
,88,    595,0.29%,98.56%
,89,    561,0.28%,98.84%
,90,    493,0.24%,99.08%
,91,    414,0.21%,99.29%
,92,    341,0.17%,99.46%
,93,    291,0.14%,99.60%
,94,    236,0.12%,99.72%
,95,    178,0.09%,99.81%
,96,    129,0.06%,99.87%
,97,    112,0.06%,99.93%
,98,    57,0.03%,99.95%
,99,    36,0.02%,99.97%
,100,    27,0.01%,99.99%
,101,    10,0.00%,99.99%
,102,    6,0.00%,99.99%
,103,    6,0.00%,100.00%
,104,    2,0.00%,100.00%
,105,    1,0.00%,100.00%
,106,    1,0.00%,100.00%
,109,    2,0.00%,100.00%
,Total,   201 764,100.00%,100.00%
,,,,
,AREA # 02049,Comuna 7,,
,,,,
,Edad,Casos,%,Acumulado %
,0,   1 484,0.70%,0.70%
,1,   1 492,0.70%,1.40%
,2,   1 677,0.79%,2.18%
,3,   1 787,0.84%,3.02%
,4,   2 090,0.98%,4.00%
,5,   2 252,1.06%,5.06%
,6,   2 313,1.08%,6.14%
,7,   2 501,1.17%,7.31%
,8,   2 412,1.13%,8.44%
,9,   2 460,1.15%,9.60%
,10,   2 430,1.14%,10.74%
,11,   2 589,1.21%,11.95%
,12,   2 587,1.21%,13.16%
,13,   2 535,1.19%,14.35%
,14,   2 517,1.18%,15.53%
,15,   2 482,1.16%,16.70%
,16,   2 534,1.19%,17.89%
,17,   2 578,1.21%,19.09%
,18,   2 705,1.27%,20.36%
,19,   2 603,1.22%,21.58%
,20,   2 745,1.29%,22.87%
,21,   2 749,1.29%,24.16%
,22,   2 736,1.28%,25.44%
,23,   2 719,1.27%,26.72%
,24,   2 708,1.27%,27.99%
,25,   2 832,1.33%,29.31%
,26,   2 960,1.39%,30.70%
,27,   2 985,1.40%,32.10%
,28,   2 715,1.27%,33.38%
,29,   2 976,1.40%,34.77%
,30,   3 297,1.55%,36.32%
,31,   3 146,1.48%,37.79%
,32,   3 286,1.54%,39.33%
,33,   3 249,1.52%,40.86%
,34,   3 227,1.51%,42.37%
,35,   3 314,1.55%,43.92%
,36,   3 141,1.47%,45.40%
,37,   3 182,1.49%,46.89%
,38,   3 152,1.48%,48.37%
,39,   3 112,1.46%,49.83%
,40,   3 297,1.55%,51.37%
,41,   3 103,1.46%,52.83%
,42,   3 288,1.54%,54.37%
,43,   3 184,1.49%,55.86%
,44,   3 135,1.47%,57.33%
,45,   3 211,1.51%,58.84%
,46,   3 130,1.47%,60.30%
,47,   3 116,1.46%,61.77%
,48,   2 860,1.34%,63.11%
,49,   2 892,1.36%,64.46%
,50,   2 989,1.40%,65.86%
,51,   2 783,1.30%,67.17%
,52,   2 678,1.26%,68.43%
,53,   2 532,1.19%,69.61%
,54,   2 473,1.16%,70.77%
,55,   2 480,1.16%,71.93%
,56,   2 420,1.13%,73.07%
,57,   2 392,1.12%,74.19%
,58,   2 411,1.13%,75.32%
,59,   2 511,1.18%,76.50%
,60,   2 658,1.25%,77.75%
,61,   2 435,1.14%,78.89%
,62,   2 509,1.18%,80.06%
,63,   2 320,1.09%,81.15%
,64,   2 339,1.10%,82.25%
,65,   2 329,1.09%,83.34%
,66,   2 202,1.03%,84.37%
,67,   2 101,0.99%,85.36%
,68,   1 992,0.93%,86.29%
,69,   2 079,0.97%,87.27%
,70,   1 985,0.93%,88.20%
,71,   1 942,0.91%,89.11%
,72,   1 993,0.93%,90.04%
,73,   1 771,0.83%,90.87%
,74,   1 693,0.79%,91.67%
,75,   1 662,0.78%,92.45%
,76,   1 613,0.76%,93.20%
,77,   1 489,0.70%,93.90%
,78,   1 394,0.65%,94.56%
,79,   1 280,0.60%,95.16%
,80,   1 208,0.57%,95.72%
,81,   1 099,0.52%,96.24%
,82,   1 019,0.48%,96.71%
,83,    932,0.44%,97.15%
,84,    811,0.38%,97.53%
,85,    763,0.36%,97.89%
,86,    691,0.32%,98.21%
,87,    630,0.30%,98.51%
,88,    552,0.26%,98.77%
,89,    514,0.24%,99.01%
,90,    478,0.22%,99.23%
,91,    377,0.18%,99.41%
,92,    315,0.15%,99.56%
,93,    290,0.14%,99.69%
,94,    177,0.08%,99.78%
,95,    139,0.07%,99.84%
,96,    117,0.05%,99.90%
,97,    83,0.04%,99.94%
,98,    58,0.03%,99.96%
,99,    37,0.02%,99.98%
,100,    15,0.01%,99.99%
,101,    10,0.00%,99.99%
,102,    8,0.00%,100.00%
,103,    2,0.00%,100.00%
,104,    2,0.00%,100.00%
,105,    1,0.00%,100.00%
,107,    3,0.00%,100.00%
,110,    1,0.00%,100.00%
,Total,   213 262,100.00%,100.00%
,,,,
,AREA # 02056,Comuna 8,,
,,,,
,Edad,Casos,%,Acumulado %
,0,   1 907,0.94%,0.94%
,1,   1 960,0.96%,1.90%
,2,   2 259,1.11%,3.00%
,3,   2 601,1.28%,4.28%
